9,1000
0.000000,0.000000,0.000000
778300000000.000000,0.000000,0.000000
1426000000000.000000,0.000000,0.000000
2871000000000.000000,0.000000,0.000000
4497000000000.000000,0.000000,0.000000
149600000000.000000,0.000000,0.000000
108200000000.000000,0.000000,0.000000
227900000000.000000,0.000000,0.000000
57900000000.000000,0.000000,0.000000
0.000000,0.000000,31556.900000
778300000000.000000,413395390.000000,31556.900000
1426000000000.000000,302946240.000000,31556.900000
2871000000000.000000,214586920.000000,31556.900000
4497000000000.000000,170407260.000000,31556.900000
149600000000.000000,940395620.000000,31556.900000
108200000000.000000,1104491500.000000,31556.900000
227900000000.000000,760521290.000000,31556.900000
57900000000.000000,1511575510.000000,31556.900000
280.670332,0.000000,63113.800000
778299781859.388550,826790780.000000,63113.800000
1425999934693.658000,605892480.000000,63113.800000
2870999983917.818800,429173840.000000,63113.800000
4496999993447.865200,340814520.000000,63113.800000
149594093438.029480,1880791240.000000,63113.800000
108188708939.029420,2208983000.000000,63113.800000
227897455161.302150,1521042580.000000,63113.800000
57860568103.216690,3023151020.000000,63113.800000
841.998840,0.681615,94670.700000
778299345578.257930,1240186054.072727,94670.700000
1425999804080.978300,908838706.240619,94670.700000
2870999951753.456500,643760758.805097,94670.700000
4496999980343.594700,511221779.753135,94670.700000
149582280664.178280,2821149732.625233,94670.700000
108166128581.739150,3313359253.766080,94670.700000
227892365526.421840,2281555376.559269,94670.700000
57781744588.430885,4533698133.256133,94670.700000
1683.965276,2.726011,126227.600000
778298691156.762820,1653581096.291008,126227.600000
1425999608161.968300,1211784904.962478,126227.600000
2870999903506.913600,858347675.220386,126227.600000
4496999960687.189500,681629039.012539,126227.600000
149564562262.301510,3761433974.908056,126227.600000
108132261865.145600,4417505050.978508,126227.600000
227884731166.062350,3042051186.519139,126227.600000
57663596554.197868,6042190557.158951,126227.600000
2806.541307,6.813751,157784.500000
778297818595.119870,2066975790.727800,157784.500000
1425999346936.638400,1514731062.406201,157784.500000
2870999839178.189900,1072934588.050965,157784.500000
